,title,title_abs,publish_year,keyword,emb1,emb2,year_cat,year_enc,color_code
0,Earthquake networks based on similar activity patterns,"Earthquake networks based on similar activity patterns  Earthquakes are a complex spatiotemporal phenomenon, the underlying mechanism for which is still not fully understood despite decades of research and analysis. We propose and develop a network approach to earthquake events. In this network, a node represents a spatial location while a link between two nodes represents similar activity patterns in the two different locations. The strength of a link is proportional to the strength of the cross-correlation in activities of two nodes joined by the link. We apply our network approach to a Japanese earthquake catalog spanning the 14-year period 1985-1998. We find strong links representing large correlations between patterns in locations separated by more than 1000 km, corroborating prior observations that earthquake interactions have no characteristic length scale. We find network characteristics not attributable to chance alone, including a large number of network links, high node assortativity, and strong stability over time. ",2011,earthquake,3.4518623,6.6949534,2011-2015,4,#9100CF
1,A Prospect of Earthquake Prediction Research,"A Prospect of Earthquake Prediction Research  Earthquakes occur because of abrupt slips on faults due to accumulated stress in the Earth's crust. Because most of these faults and their mechanisms are not readily apparent, deterministic earthquake prediction is difficult. For effective prediction, complex conditions and uncertain elements must be considered, which necessitates stochastic prediction. In particular, a large amount of uncertainty lies in identifying whether abnormal phenomena are precursors to large earthquakes, as well as in assigning urgency to the earthquake. Any discovery of potentially useful information for earthquake prediction is incomplete unless quantitative modeling of risk is considered. Therefore, this manuscript describes the prospect of earthquake predictability research to realize practical operational forecasting in the near future. ",2013,earthquake,5.2595787,6.385388,2011-2015,4,#9100CF
2,Triggering of large earthquakes is driven by their twins,"Triggering of large earthquakes is driven by their twins  Fundamentally related to the UV divergence problem in Physics, conventional wisdom in seismology is that the smallest earthquakes, which are numerous and often go undetected, dominate the triggering of major earthquakes, making the prediction of the latter difficult if not inherently impossible. By developing a rigorous validation procedure, we show that, in fact, large earthquakes (above magnitude 6.3 in California) are preferentially triggered by large events. Because of the magnitude correlations intrinsic in the validated model, we further rationalize the existence of earthquake doublets. These findings have far-reaching implications for short-term and medium-term seismic risk assessment, as well as for the development of a deeper theory without UV cut-off that is locally self-similar. ",2021,earthquake,5.377548,6.293648,2020-,6,#5E0897
3,"Tectonic ""short circuit"" of sub-horizontal fluid-saturated bodies as a  possible mechanism of the earthquake","Tectonic ""short circuit"" of sub-horizontal fluid-saturated bodies as a   possible mechanism of the earthquake  An alternative earthquake mechanism is proposed. The traditional stress mechanism of fracture formation assigned a support role. As a proximate cause of the earthquake the destruction of the roofs of sub-horizontal fluid-saturated bodies (SHFB) is considered. This collapse may occur due to redistribution of fluid pressure within the system of SHFB connected by cracks (tectonic or other nature). It can cause both shifts of rock blocks contributing to seismic shocks and various effects characteristic of foreshocks and aftershocks. ",2013,earthquake,6.2041283,5.831665,2011-2015,4,#9100CF
4,Physics Models of Earthquake,"Physics Models of Earthquake  Since long back, scientists have been putting enormous effort to understand earthquake dynamics -the goal is to develop a successful prediction scheme which can provide reliable alarm that an earthquake is imminent. Model studies sometimes help to understand in some extend the basic dynamics of the real systems and therefore is an important part of earthquake research. In this report, we review several physics models which capture some essential features of earthquake phenomenon and also suggest methods to predict catastrophic events being within the range of model parameters. ",2007,earthquake,4.9923854,6.1713066,2006-2010,3,#FEF65C
5,Earthquake Impact Analysis Based on Text Mining and Social Media  Analytics,"Earthquake Impact Analysis Based on Text Mining and Social Media   Analytics  Earthquakes have a deep impact on wide areas, and emergency rescue operations may benefit from social media information about the scope and extent of the disaster. Therefore, this work presents a text miningbased approach to collect and analyze social media data for early earthquake impact analysis. First, disasterrelated microblogs are collected from the Sina microblog based on crawler technology. Then, after data cleaning a series of analyses are conducted including (1) the hot words analysis, (2) the trend of the number of microblogs, (3) the trend of public opinion sentiment, and (4) a keyword and rule-based text classification for earthquake impact analysis. Finally, two recent earthquakes with the same magnitude and focal depth in China are analyzed to compare their impacts. The results show that the public opinion trend analysis and the trend of public opinion sentiment can estimate the earthquake's social impact at an early stage, which will be helpful to decision-making and rescue management. ",2022,earthquake,3.1900325,6.8911777,2020-,6,#5E0897
6,Spatiotemporal Correlations of Earthquakes,"Spatiotemporal Correlations of Earthquakes  Statistical properties of earthquakes are studied both by the analysis of real earthquake catalog of Japan and by numerical computer simulations of the spring-block model in both one and two dimensions. Particular attention is paid to the spatiotemporal correlations of earthquakes, e.g., the recurrence-time distribution or the time evolution before and after the mainshock of seismic distribution functions, including the magnitude distribution and the spatial seismic distribution. Certain eminent features of the spatiotemporal correlations, e.g., foreshocks, aftershocks, swarms and doughnut-like seismic pattern, are discussed. ",2006,earthquake,5.3540034,6.3527,2006-2010,3,#FEF65C
7,Anomalous diffusion of epicentres,Anomalous diffusion of epicentres  The classification of earthquakes in main shocks and aftershocks by a method recently proposed by M. Baiesi and M. Paczuski allows to the generation of a complex network composed of clusters that group the most correlated events. The spatial distribution of epicentres inside these structures corresponding to the catalogue of earthquakes in the eastern region of Cuba shows anomalous anti-diffusive behaviour evidencing the attractive nature of the main shock and the possible description in terms of fractional kinetics. ,2007,earthquake,5.3281693,6.273119,2006-2010,3,#FEF65C
8,The Olami-Feder-Christensen earthquake model in one dimension,"The Olami-Feder-Christensen earthquake model in one dimension  We study the earthquake model by Olami, Feder and Christensen in one dimension. While the size distribution of earthquakes resembles a power law for small system sizes, it splits for larger system sizes into two parts, one comprising small avalanches and showing a size independent cutoff, and the other comprising avalanches of the order of the system size. We identify four different types of attractors of the dynamics of the system which already exist for very small systems. For larger system sizes, these attractors contain large synchronized regions. ",2004,earthquake,5.2625318,5.763434,2001-2005,2,#FFE135
9,Earthquake forecasting: Statistics and Information,"Earthquake forecasting: Statistics and Information  We present an axiomatic approach to earthquake forecasting in terms of multi-component random fields on a lattice. This approach provides a method for constructing point estimates and confidence intervals for conditional probabilities of strong earthquakes under conditions on the levels of precursors. Also, it provides an approach for setting multilevel alarm system and hypothesis testing for binary alarms. We use a method of comparison for different earthquake forecasts in terms of the increase of Shannon information. 'Forecasting' and 'prediction' of earthquakes are equivalent in this approach. ",2013,earthquake,5.203241,6.41517,2011-2015,4,#9100CF
10,Forecasting in multivariate irregularly sampled time series with missing  values,"Forecasting in multivariate irregularly sampled time series with missing   values  Sparse and irregularly sampled multivariate time series are common in clinical, climate, financial and many other domains. Most recent approaches focus on classification, regression or forecasting tasks on such data. In forecasting, it is necessary to not only forecast the right value but also to forecast when that value will occur in the irregular time series. In this work, we present an approach to forecast not only the values but also the time at which they are expected to occur. ",2020,forecasting,3.9039388,6.511547,2020-,6,#5E0897
11,Forecasting with Feedback,"Forecasting with Feedback  Systematically biased forecasts are typically interpreted as evidence of forecasters' irrationality and/or asymmetric loss. In this paper we propose an alternative explanation: when forecasts inform economic policy decisions, and the resulting actions affect the realization of the forecast target itself, forecasts may be optimally biased even under quadratic loss. The result arises in environments in which the forecaster is uncertain about the decision maker's reaction to the forecast, which is presumably the case in most applications. We illustrate the empirical relevance of our theory by reviewing some stylized properties of Green Book inflation forecasts and relating them to the predictions from our model. Our results point out that the presence of policy feedback poses a challenge to traditional tests of forecast rationality. ",2023,forecasting,3.7884583,6.479365,2020-,6,#5E0897
12,A Strong Baseline for Weekly Time Series Forecasting,"A Strong Baseline for Weekly Time Series Forecasting  Many businesses and industries require accurate forecasts for weekly time series nowadays. The forecasting literature however does not currently provide easy-to-use, automatic, reproducible and accurate approaches dedicated to this task. We propose a forecasting method that can be used as a strong baseline in this domain, leveraging state-of-the-art forecasting techniques, forecast combination, and global modelling. Our approach uses four base forecasting models specifically suitable for forecasting weekly data: a global Recurrent Neural Network model, Theta, Trigonometric Box-Cox ARMA Trend Seasonal (TBATS), and Dynamic Harmonic Regression ARIMA (DHR-ARIMA). Those are then optimally combined using a lasso regression stacking approach. We evaluate the performance of our method against a set of state-of-the-art weekly forecasting models on six datasets. Across four evaluation metrics, we show that our method consistently outperforms the benchmark methods by a considerable margin with statistical significance. In particular, our model can produce the most accurate forecasts, in terms of mean sMAPE, for the M4 weekly dataset. ",2020,forecasting,3.6693296,6.7600384,2020-,6,#5E0897
13,Forecasting Framework for Open Access Time Series in Energy,"Forecasting Framework for Open Access Time Series in Energy  In this paper we propose a framework for automated forecasting of energy-related time series using open access data from European Network of Transmission System Operators for Electricity (ENTSO-E). The framework provides forecasts for various European countries using publicly available historical data only. Our solution was benchmarked using the actual load data and the country provided estimates (where available). We conclude that the proposed system can produce timely forecasts with comparable prediction accuracy in a number of cases. We also investigate the probabilistic case of forecasting - that is, providing a probability distribution rather than a simple point forecast - and incorporate it into a web based API that provides quick and easy access to reliable forecasts. ",2016,forecasting,3.7625835,6.813959,2016-2020,5,#7402B1
